NXST_FLOW reply (xid=0x4):
 cookie=0x240db3d6, duration=63877.540s, table=0, n_packets=0, n_bytes=0, idle_age=63877, priority=180,dl_src=fa:16:3e:6c:3c:b6 actions=conjunction(100,1/2)
 cookie=0x22645a2f, duration=62377.993s, table=0, n_packets=0, n_bytes=0, idle_age=62377, priority=150,in_port=3,dl_vlan=100 actions=strip_vlan,load:0x3->NXM_NX_REG11[],load:0x2->NXM_NX_REG12[],load:0x1->OXM_OF_METADATA[],load:0x1->NXM_NX_REG14[],resubmit(,8)
 cookie=0x0, duration=63877.507s, table=0, n_packets=0, n_bytes=0, idle_age=63877, priority=105,tun_id=0x800000/0x800000,in_port=1 actions=load:0x1->NXM_NX_REG15[15],move:NXM_NX_TUN_ID[12..22]->NXM_NX_REG15[0..10],move:NXM_NX_TUN_ID[0..11]->OXM_OF_METADATA[0..11],resubmit(,38)
 cookie=0x0, duration=63877.507s, table=0, n_packets=0, n_bytes=0, idle_age=63877, priority=100,in_port=1 actions=move:NXM_NX_TUN_ID[12..23]->NXM_NX_REG15[0..11],move:NXM_NX_TUN_ID[0..11]->OXM_OF_METADATA[0..11],resubmit(,38)
 cookie=0x4ccb7580, duration=62377.995s, table=8, n_packets=0, n_bytes=0, idle_age=62377, priority=100,metadata=0x1,vlan_tci=0x1000/0x1000 actions=drop
 cookie=0xbc467ac9, duration=62377.994s, table=8, n_packets=0, n_bytes=0, idle_age=62377, priority=100,metadata=0x1,dl_src=01:00:00:00:00:00/01:00:00:00:00:00 actions=drop
 cookie=0x8f00da4, duration=62377.996s, table=8, n_packets=1101, n_bytes=54907, idle_age=15, priority=50,metadata=0x1 actions=load:0->NXM_NX_REG10[12],resubmit(,73),move:NXM_NX_REG10[12]->NXM_NX_XXREG0[111],resubmit(,9)
 cookie=0xe65c9892, duration=62377.994s, table=9, n_packets=12, n_bytes=852, idle_age=62356, priority=50,reg0=0x8000/0x8000,metadata=0x1 actions=drop
 cookie=0x34674e41, duration=62377.995s, table=9, n_packets=1089, n_bytes=54055, idle_age=15, priority=0,metadata=0x1 actions=resubmit(,10)
 cookie=0x25a1f73b, duration=62377.996s, table=10, n_packets=1089, n_bytes=54055, idle_age=15, priority=0,metadata=0x1 actions=resubmit(,11)
 cookie=0x12d426, duration=62377.996s, table=11, n_packets=1089, n_bytes=54055, idle_age=15, priority=0,metadata=0x1 actions=resubmit(,12)
 cookie=0xb2705fe, duration=62377.996s, table=12, n_packets=0, n_bytes=0, idle_age=62377, priority=110,metadata=0x1,dl_dst=3e:0b:f3:45:d5:d7 actions=resubmit(,13)
 cookie=0x86158177, duration=62377.995s, table=12, n_packets=0, n_bytes=0, idle_age=62377, priority=0,metadata=0x1 actions=resubmit(,13)
 cookie=0x8c95b8b7, duration=62377.995s, table=13, n_packets=0, n_bytes=0, idle_age=62377, priority=110,metadata=0x1,dl_dst=3e:0b:f3:45:d5:d7 actions=resubmit(,14)
 cookie=0x9250ecf2, duration=62377.995s, table=13, n_packets=0, n_bytes=0, idle_age=62377, priority=110,icmp6,metadata=0x1,nw_ttl=255,icmp_type=135,icmp_code=0 actions=resubmit(,14)
 cookie=0x9250ecf2, duration=62377.995s, table=13, n_packets=0, n_bytes=0, idle_age=62377, priority=110,icmp6,metadata=0x1,nw_ttl=255,icmp_type=136,icmp_code=0 actions=resubmit(,14)
 cookie=0x9250ecf2, duration=62377.995s, table=13, n_packets=0, n_bytes=0, idle_age=62377, priority=110,icmp6,metadata=0x1,nw_ttl=255,icmp_type=134,icmp_code=0 actions=resubmit(,14)
 cookie=0x9250ecf2, duration=62377.995s, table=13, n_packets=0, n_bytes=0, idle_age=62377, priority=110,icmp6,metadata=0x1,nw_ttl=255,icmp_type=133,icmp_code=0 actions=resubmit(,14)
 cookie=0x9250ecf2, duration=62377.995s, table=13, n_packets=0, n_bytes=0, idle_age=62377, priority=110,icmp6,metadata=0x1,ipv6_src=fe80::/10,icmp_type=130 actions=resubmit(,14)
 cookie=0x9250ecf2, duration=62377.995s, table=13, n_packets=0, n_bytes=0, idle_age=62377, priority=110,icmp6,metadata=0x1,ipv6_src=fe80::/10,icmp_type=131 actions=resubmit(,14)
 cookie=0x9250ecf2, duration=62377.995s, table=13, n_packets=0, n_bytes=0, idle_age=62377, priority=110,icmp6,metadata=0x1,ipv6_src=fe80::/10,icmp_type=132 actions=resubmit(,14)
 cookie=0x9250ecf2, duration=62377.995s, table=13, n_packets=1, n_bytes=90, idle_age=62374, priority=110,icmp6,metadata=0x1,ipv6_dst=ff02::16,icmp_type=143 actions=resubmit(,14)
 cookie=0xd7fd022d, duration=62377.994s, table=13, n_packets=0, n_bytes=0, idle_age=62377, priority=110,ip,reg14=0x1,metadata=0x1 actions=resubmit(,14)
 cookie=0xd7fd022d, duration=62377.994s, table=13, n_packets=0, n_bytes=0, idle_age=62377, priority=110,ipv6,reg14=0x1,metadata=0x1 actions=resubmit(,14)
 cookie=0xf9299ba0, duration=62377.994s, table=13, n_packets=952, n_bytes=40884, idle_age=15, priority=110,metadata=0x1,dl_dst=01:00:00:00:00:00/01:00:00:00:00:00 actions=resubmit(,14)
 cookie=0x2395503a, duration=62377.996s, table=13, n_packets=136, n_bytes=13081, idle_age=62361, priority=0,metadata=0x1 actions=resubmit(,14)
 cookie=0xe03d4b32, duration=62377.994s, table=14, n_packets=0, n_bytes=0, idle_age=62377, priority=110,ipv6,reg0=0x4/0x4,metadata=0x1 actions=ct(table=15,zone=NXM_NX_REG13[0..15],nat)
 cookie=0xe03d4b32, duration=62377.994s, table=14, n_packets=0, n_bytes=0, idle_age=62377, priority=110,ip,reg0=0x4/0x4,metadata=0x1 actions=ct(table=15,zone=NXM_NX_REG13[0..15],nat)
 cookie=0x8a5cf42, duration=62377.996s, table=14, n_packets=0, n_bytes=0, idle_age=62377, priority=100,ipv6,reg0=0x1/0x1,metadata=0x1 actions=ct(table=15,zone=NXM_NX_REG13[0..15])
 cookie=0x8a5cf42, duration=62377.996s, table=14, n_packets=136, n_bytes=13081, idle_age=62361, priority=100,ip,reg0=0x1/0x1,metadata=0x1 actions=ct(table=15,zone=NXM_NX_REG13[0..15])
 cookie=0xf63ad80c, duration=62377.994s, table=14, n_packets=953, n_bytes=40974, idle_age=15, priority=0,metadata=0x1 actions=resubmit(,15)
 cookie=0x9a4c93b6, duration=13.668s, table=15, n_packets=0, n_bytes=0, idle_age=13, priority=65535,metadata=0x1 actions=resubmit(,16)
 cookie=0x37107805, duration=13.668s, table=16, n_packets=0, n_bytes=0, idle_age=13, priority=65535,metadata=0x1 actions=resubmit(,17)
 cookie=0x67341470, duration=62377.995s, table=17, n_packets=1089, n_bytes=54055, idle_age=15, priority=0,metadata=0x1 actions=resubmit(,18)
 cookie=0x5b010ea4, duration=62377.995s, table=18, n_packets=1089, n_bytes=54055, idle_age=15, priority=0,metadata=0x1 actions=resubmit(,19)
